position,name,country,rating,game_type,category
35,Cheteshwar Pujara,NEW ZEALAND,588,T20,Batting
36,Imam-ul-Haq,NEW ZEALAND,584,T20,Batting
37,Kraigg Brathwaite,NEW ZEALAND,568,T20,Batting
38,Shakib Al Hasan,NEW ZEALAND,566,T20,Batting
39,Ravindra Jadeja,NEW ZEALAND,564,T20,Batting
40,Henry Nicholls,NEW ZEALAND,562,T20,Batting
41,Alex Carey,NEW ZEALAND,557,T20,Batting
42,Craig Ervine,NEW ZEALAND,555,T20,Batting
43,Ajinkya Rahane,NEW ZEALAND,546,T20,Batting
43,Cameron Green,NEW ZEALAND,546,T20,Batting
45,Najmul Hossain Shanto,NEW ZEALAND,545,T20,Batting
46,Kusal Mendis,NEW ZEALAND,536,T20,Batting
47,Tamim Iqbal,NEW ZEALAND,534,T20,Batting
48,Shreyas Iyer,NEW ZEALAND,533,T20,Batting
49,Jermaine Blackwood,NEW ZEALAND,531,T20,Batting
50,Axar Patel,NEW ZEALAND,517,T20,Batting
51,KL Rahul,NEW ZEALAND,514,T20,Batting
52,Shubman Gill,NEW ZEALAND,509,T20,Batting
53,Glenn Phillips,NEW ZEALAND,502,T20,Batting
54,Keegan Petersen,NEW ZEALAND,498,T20,Batting
55,Mominul Haque,NEW ZEALAND,493,T20,Batting
56,Rassie van der Dussen,NEW ZEALAND,487,T20,Batting
56,Mitchell Marsh,NEW ZEALAND,487,T20,Batting
56,Shan Masood,NEW ZEALAND,487,T20,Batting
59,Kyle Verreynne,NEW ZEALAND,486,T20,Batting
60,Joshua Da Silva,NEW ZEALAND,482,T20,Batting
60,Nkrumah Bonner,NEW ZEALAND,482,T20,Batting
62,Niroshan Dickwella,NEW ZEALAND,479,T20,Batting
62,Harry Tector,NEW ZEALAND,479,T20,Batting
64,Ben Foakes,NEW ZEALAND,475,T20,Batting
65,Sarfaraz Ahmed,NEW ZEALAND,471,T20,Batting
66,Yashasvi Jaiswal,NEW ZEALAND,461,T20,Batting
67,Jason Holder,NEW ZEALAND,450,T20,Batting
67,Lorcan Tucker,NEW ZEALAND,450,T20,Batting
69,Zakir Hasan,NEW ZEALAND,444,T20,Batting
70,Oshada Fernando,NEW ZEALAND,439,T20,Batting
71,Ibrahim Zadran,NEW ZEALAND,432,T20,Batting
72,Kyle Mayers,NEW ZEALAND,427,T20,Batting
73,Sarel Erwee,NEW ZEALAND,424,T20,Batting
74,Mahmudul Hasan Joy,NEW ZEALAND,414,T20,Batting
75,Marco Jansen,NEW ZEALAND,405,T20,Batting
77,Innocent Kaia,NEW ZEALAND,394,T20,Batting
78,Ravichandran Ashwin,NEW ZEALAND,385,T20,Batting
79,Hashmatullah Shahidi,NEW ZEALAND,380,T20,Batting
80,Tagenarine Chanderpaul,NEW ZEALAND,375,T20,Batting
82,Rahmat Shah,NEW ZEALAND,366,T20,Batting
83,Chris Woakes,NEW ZEALAND,364,T20,Batting
84,Roston Chase,NEW ZEALAND,362,T20,Batting
85,Faheem Ashraf,NEW ZEALAND,354,T20,Batting
86,Nurul Hasan,NEW ZEALAND,350,T20,Batting
88,Alick Athanaze,NEW ZEALAND,346,T20,Batting
89,Curtis Campher,NEW ZEALAND,336,T20,Batting
90,Will Young,NEW ZEALAND,333,T20,Batting
91,Nishan Madushka,NEW ZEALAND,329,T20,Batting
92,Mitchell Santner,NEW ZEALAND,328,T20,Batting
93,Mehidy Hasan Miraz,NEW ZEALAND,327,T20,Batting
94,Shamarh Brooks,NEW ZEALAND,313,T20,Batting
94,Moeen Ali,NEW ZEALAND,313,T20,Batting
96,Andrew Balbirnie,NEW ZEALAND,312,T20,Batting
97,Paul Stirling,NEW ZEALAND,305,T20,Batting
97,Aamer Jamal,NEW ZEALAND,305,T20,Batting
99,Mitchell Starc,NEW ZEALAND,302,T20,Batting
100,Peter Handscomb,NEW ZEALAND,299,T20,Batting
1,Ravichandran Ashwin,INDIA,853,T20,Bowling
2,Kagiso Rabada,INDIA,851,T20,Bowling
3,Pat Cummins,INDIA,828,T20,Bowling
4,Jasprit Bumrah,INDIA,825,T20,Bowling
5,Josh Hazlewood,INDIA,818,T20,Bowling
6,Ollie Robinson,INDIA,754,T20,Bowling
6,Ravindra Jadeja,INDIA,754,T20,Bowling
8,James Anderson,INDIA,753,T20,Bowling
9,Prabath Jayasuriya,INDIA,751,T20,Bowling
10,Nathan Lyon,INDIA,746,T20,Bowling
11,Mitchell Starc,INDIA,737,T20,Bowling
12,Shaheen Afridi,INDIA,733,T20,Bowling
13,Tim Southee,INDIA,724,T20,Bowling
14,Kyle Jamieson,INDIA,708,T20,Bowling
15,Taijul Islam,INDIA,706,T20,Bowling
16,Anrich Nortje,INDIA,677,T20,Bowling
17,Kemar Roach,INDIA,666,T20,Bowling
18,Neil Wagner,INDIA,657,T20,Bowling
19,Mohammed Siraj,INDIA,625,T20,Bowling
20,Mohammed Shami,INDIA,623,T20,Bowling
21,Chris Woakes,INDIA,618,T20,Bowling
22,Mehidy Hasan Miraz,INDIA,617,T20,Bowling
23,Mark Wood,INDIA,616,T20,Bowling
24,Marco Jansen,INDIA,604,T20,Bowling
25,Jason Holder,INDIA,600,T20,Bowling
26,Keshav Maharaj,INDIA,578,T20,Bowling
27,Jack Leach,INDIA,572,T20,Bowling
28,Lungi Ngidi,INDIA,569,T20,Bowling
28,Ramesh Mendis,INDIA,569,T20,Bowling
30,Shakib Al Hasan,INDIA,566,T20,Bowling
31,Axar Patel,INDIA,562,T20,Bowling
32,Matt Henry,INDIA,558,T20,Bowling
33,Alzarri Joseph,INDIA,552,T20,Bowling
34,Hasan Ali,INDIA,551,T20,Bowling
35,Ajaz Patel,INDIA,548,T20,Bowling
36,Kyle Mayers,INDIA,540,T20,Bowling
37,Umesh Yadav,INDIA,518,T20,Bowling
38,Naseem Shah,INDIA,514,T20,Bowling
39,Shannon Gabriel,INDIA,501,T20,Bowling
41,Asitha Fernando,INDIA,472,T20,Bowling
42,Ben Stokes,INDIA,451,T20,Bowling
43,Abrar Ahmed,INDIA,449,T20,Bowling
44,Aamer Jamal,INDIA,432,T20,Bowling
44,Jayden Seales,INDIA,432,T20,Bowling
46,Nayeem Hasan,INDIA,426,T20,Bowling
47,Kasun Rajitha,INDIA,422,T20,Bowling
48,Moeen Ali,INDIA,409,T20,Bowling
49,Kuldeep Yadav,INDIA,407,T20,Bowling
50,Anneke Bosch,INDIA,397,T20,Bowling
50,Lahiru Kumara,INDIA,397,T20,Bowling
52,Nandre Burger,INDIA,380,T20,Bowling
53,Gudakesh Motie,INDIA,378,T20,Bowling
54,Joe Root,INDIA,377,T20,Bowling
55,Matthew Potts,INDIA,372,T20,Bowling
56,Scott Boland,INDIA,370,T20,Bowling
56,Roston Chase,INDIA,370,T20,Bowling
58,Shardul Thakur,INDIA,365,T20,Bowling
59,Todd Murphy,INDIA,361,T20,Bowling
60,Vishwa Fernando,INDIA,360,T20,Bowling
61,Josh Tongue,INDIA,342,T20,Bowling
62,Shoriful Islam,INDIA,336,T20,Bowling
64,Jomel Warrican,INDIA,331,T20,Bowling
65,Ebadot Hossain,INDIA,321,T20,Bowling
66,Ish Sodhi,INDIA,305,T20,Bowling
67,Michael Bracewell,INDIA,298,T20,Bowling
68,Cameron Green,INDIA,293,T20,Bowling
69,Glenn Phillips,INDIA,290,T20,Bowling
70,Amir Hamza,INDIA,288,T20,Bowling
71,Simon Harmer,INDIA,282,T20,Bowling
71,Rahkeem Cornwall,INDIA,282,T20,Bowling
73,Sajid Khan,INDIA,278,T20,Bowling
74,Victor Nyauchi,INDIA,276,T20,Bowling
75,Blair Tickner,INDIA,261,T20,Bowling
75,Mitchell Marsh,INDIA,261,T20,Bowling
77,Mitchell Santner,INDIA,260,T20,Bowling
78,Wiaan Mulder,INDIA,255,T20,Bowling
79,Donald Tiripano,INDIA,237,T20,Bowling
80,Mohammad Nawaz,INDIA,236,T20,Bowling
80,Yamin Ahmadzai,INDIA,236,T20,Bowling
82,Gerald Coetzee,INDIA,231,T20,Bowling
83,Zahid Mahmood,INDIA,224,T20,Bowling
84,Rehan Ahmed,INDIA,223,T20,Bowling
85,Taskin Ahmed,INDIA,222,T20,Bowling
86,Brandon Mavuta,INDIA,221,T20,Bowling
87,Faheem Ashraf,INDIA,216,T20,Bowling
88,Matthew Kuhnemann,INDIA,212,T20,Bowling
88,Michael Neser,INDIA,212,T20,Bowling
90,Dhananjaya de Silva,INDIA,202,T20,Bowling
91,Khaled Ahmed,INDIA,193,T20,Bowling
92,Agha Salman,INDIA,191,T20,Bowling
93,Mukesh Kumar,INDIA,186,T20,Bowling
94,Khurram Shahzad,INDIA,177,T20,Bowling
95,Mark Adair,INDIA,173,T20,Bowling
95,Mir Hamza,INDIA,173,T20,Bowling
97,Andy McBrine,INDIA,171,T20,Bowling
98,Zahir Khan,INDIA,165,T20,Bowling
99,Kraigg Brathwaite,INDIA,158,T20,Bowling
100,Will Jacks,INDIA,141,T20,Bowling
1,Ravindra Jadeja,INDIA,425,T20,All-Rounder
2,Ravichandran Ashwin,INDIA,328,T20,All-Rounder
3,Shakib Al Hasan,INDIA,320,T20,All-Rounder
4,Joe Root,INDIA,313,T20,All-Rounder
5,Ben Stokes,INDIA,307,T20,All-Rounder
6,Axar Patel,INDIA,290,T20,All-Rounder
7,Jason Holder,INDIA,270,T20,All-Rounder
8,Marco Jansen,INDIA,244,T20,All-Rounder
9,Pat Cummins,INDIA,234,T20,All-Rounder
10,Kyle Mayers,INDIA,230,T20,All-Rounder
11,Chris Woakes,INDIA,224,T20,All-Rounder
12,Mitchell Starc,INDIA,222,T20,All-Rounder
13,Mehidy Hasan Miraz,INDIA,201,T20,All-Rounder
14,Tim Southee,INDIA,199,T20,All-Rounder
15,Kyle Jamieson,INDIA,195,T20,All-Rounder
16,Kagiso Rabada,INDIA,177,T20,All-Rounder
17,Keshav Maharaj,INDIA,164,T20,All-Rounder
18,Cameron Green,INDIA,159,T20,All-Rounder
19,Nathan Lyon,INDIA,155,T20,All-Rounder
20,Neil Wagner,INDIA,153,T20,All-Rounder
21,Ramesh Mendis,INDIA,152,T20,All-Rounder
21,Ollie Robinson,INDIA,152,T20,All-Rounder
23,Glenn Phillips,INDIA,145,T20,All-Rounder
24,Matt Henry,INDIA,140,T20,All-Rounder
25,Mark Wood,INDIA,138,T20,All-Rounder
26,Alzarri Joseph,INDIA,135,T20,All-Rounder
27,Roston Chase,INDIA,133,T20,All-Rounder
28,Aamer Jamal,INDIA,131,T20,All-Rounder
29,Dhananjaya de Silva,INDIA,130,T20,All-Rounder
30,Kemar Roach,INDIA,129,T20,All-Rounder
31,Moeen Ali,INDIA,128,T20,All-Rounder
32,Mitchell Marsh,INDIA,127,T20,All-Rounder
33,Agha Salman,INDIA,115,T20,All-Rounder
33,Jack Leach,INDIA,115,T20,All-Rounder
35,Mohammed Shami,INDIA,110,T20,All-Rounder
36,Shardul Thakur,INDIA,108,T20,All-Rounder
37,Josh Hazlewood,INDIA,107,T20,All-Rounder
38,Travis Head,INDIA,102,T20,All-Rounder
39,Hasan Ali,INDIA,95,T20,All-Rounder
42,Anneke Bosch,INDIA,91,T20,All-Rounder
43,Kane Williamson,INDIA,89,T20,All-Rounder
43,Kraigg Brathwaite,INDIA,89,T20,All-Rounder
45,Mitchell Santner,INDIA,85,T20,All-Rounder
46,Jasprit Bumrah,INDIA,81,T20,All-Rounder
47,Anrich Nortje,INDIA,77,T20,All-Rounder
48,Angelo Mathews,INDIA,76,T20,All-Rounder
48,Faheem Ashraf,INDIA,76,T20,All-Rounder
50,Taijul Islam,INDIA,75,T20,All-Rounder
51,Shaheen Afridi,INDIA,74,T20,All-Rounder
52,James Anderson,INDIA,71,T20,All-Rounder
53,Steven Smith,INDIA,68,T20,All-Rounder
53,Mominul Haque,INDIA,68,T20,All-Rounder
55,Donald Tiripano,INDIA,67,T20,All-Rounder
56,Umesh Yadav,INDIA,66,T20,All-Rounder
57,Michael Bracewell,INDIA,64,T20,All-Rounder
58,Marnus Labuschagne,INDIA,62,T20,All-Rounder
59,Ajaz Patel,INDIA,60,T20,All-Rounder
60,Wiaan Mulder,INDIA,59,T20,All-Rounder
61,Dean Elgar,INDIA,58,T20,All-Rounder
62,Simon Harmer,INDIA,57,T20,All-Rounder
63,Rahkeem Cornwall,INDIA,56,T20,All-Rounder
64,Nayeem Hasan,INDIA,54,T20,All-Rounder
65,Todd Murphy,INDIA,49,T20,All-Rounder
66,Andy McBrine,INDIA,48,T20,All-Rounder
67,Ish Sodhi,INDIA,47,T20,All-Rounder
67,Amir Hamza,INDIA,47,T20,All-Rounder
69,Mark Adair,INDIA,43,T20,All-Rounder
70,Brandon Mavuta,INDIA,40,T20,All-Rounder
71,Lungi Ngidi,INDIA,39,T20,All-Rounder
72,Jomel Warrican,INDIA,38,T20,All-Rounder
72,Mohammed Siraj,INDIA,38,T20,All-Rounder
74,Gerald Coetzee,INDIA,37,T20,All-Rounder
75,Prabath Jayasuriya,INDIA,36,T20,All-Rounder
75,Naseem Shah,INDIA,36,T20,All-Rounder
75,Mohammad Nawaz,INDIA,36,T20,All-Rounder
78,Kuldeep Yadav,INDIA,31,T20,All-Rounder
78,Rehan Ahmed,INDIA,31,T20,All-Rounder
80,Gudakesh Motie,INDIA,30,T20,All-Rounder
81,Taskin Ahmed,INDIA,29,T20,All-Rounder
81,Shoriful Islam,INDIA,29,T20,All-Rounder
83,Abrar Ahmed,INDIA,28,T20,All-Rounder
84,Kasun Rajitha,INDIA,27,T20,All-Rounder
85,Michael Neser,INDIA,26,T20,All-Rounder
86,Vishwa Fernando,INDIA,25,T20,All-Rounder
86,Sajid Khan,INDIA,25,T20,All-Rounder
88,Scott Boland,INDIA,24,T20,All-Rounder
89,Josh Tongue,INDIA,23,T20,All-Rounder
89,Shannon Gabriel,INDIA,23,T20,All-Rounder
91,Matthew Potts,INDIA,19,T20,All-Rounder
91,Will Jacks,INDIA,19,T20,All-Rounder
93,Daryl Mitchell,INDIA,18,T20,All-Rounder
94,Jayden Seales,INDIA,16,T20,All-Rounder
96,Lahiru Kumara,INDIA,15,T20,All-Rounder
96,Jermaine Blackwood,INDIA,15,T20,All-Rounder
98,Aiden Markram,INDIA,14,T20,All-Rounder
99,Harry Brook,INDIA,13,T20,All-Rounder
100,Nandre Burger,INDIA,12,T20,All-Rounder
